pickup_date,temp_max,temp_min,temp_mean,precip_mm,snow_mm,wind_max,weather_code,conditions
2023-06-22,21.1,15.5,18.2,0.3,0.0,25.0,51,Rainy
2023-06-23,22.9,17.1,19.8,12.4,0.0,21.8,63,Rainy
2023-06-24,25.7,19.3,21.6,21.2,0.0,16.9,63,Rainy
2023-06-25,28.6,18.7,23.0,1.9,0.0,17.9,53,Rainy
2023-06-26,25.6,19.1,21.8,4.6,0.0,20.3,61,Rainy
2023-06-27,26.4,19.4,21.8,18.7,0.0,18.8,65,Rainy
2023-06-28,28.7,18.9,22.9,2.1,0.0,13.8,53,Rainy
2023-06-29,28.7,16.3,22.4,0.0,0.0,14.3,3,Partly cloudy
2023-06-30,29.3,17.1,23.0,0.0,0.0,21.1,3,Partly cloudy
2023-07-01,26.9,17.7,22.5,0.0,0.0,24.7,3,Partly cloudy
2023-07-02,31.3,20.4,24.5,16.1,0.0,20.6,63,Rainy
2023-07-03,31.2,22.4,25.6,17.8,0.0,16.8,65,Rainy
2023-07-04,29.4,21.3,24.7,5.4,0.0,13.2,61,Rainy
2023-07-05,32.3,21.1,26.3,0.0,0.0,15.2,3,Partly cloudy
2023-07-06,31.3,21.5,26.0,0.0,0.0,20.0,0,Clear
2023-07-07,29.7,21.9,25.2,0.6,0.0,18.4,51,Rainy
2023-07-08,29.6,22.6,25.4,4.4,0.0,15.2,53,Rainy
2023-07-09,27.0,21.6,23.2,18.5,0.0,14.9,63,Rainy
2023-07-10,28.7,21.3,24.3,1.3,0.0,17.2,53,Rainy
2023-07-11,31.8,17.1,24.8,0.0,0.0,10.6,0,Clear
2023-07-12,33.1,19.7,26.7,0.0,0.0,16.3,3,Partly cloudy
2023-07-13,31.9,21.3,26.9,0.2,0.0,24.4,51,Rainy
2023-07-14,28.3,21.4,24.4,36.6,0.0,20.7,65,Rainy
2023-07-15,29.5,20.5,24.8,8.0,0.0,16.8,63,Rainy
2023-07-16,26.0,21.9,24.0,41.4,0.0,18.2,65,Rainy
2023-07-17,31.8,20.1,25.6,0.1,0.0,17.6,51,Rainy
2023-07-18,29.7,21.4,25.0,8.3,0.0,17.1,63,Rainy
2023-07-19,27.6,18.8,23.0,3.8,0.0,10.9,55,Rainy
2023-07-20,28.6,20.0,24.1,0.5,0.0,14.9,51,Rainy
2023-07-21,29.6,21.9,24.3,3.5,0.0,15.6,53,Rainy
2023-07-22,28.5,18.6,23.6,0.0,0.0,15.1,3,Partly cloudy
2023-07-23,30.1,17.4,23.9,0.5,0.0,19.3,51,Rainy
2023-07-24,28.8,18.6,24.3,1.9,0.0,23.1,61,Rainy
2023-07-25,28.7,19.3,23.2,9.0,0.0,15.1,63,Rainy
2023-07-26,30.1,17.1,23.9,0.4,0.0,20.9,51,Rainy
2023-07-27,33.9,22.3,27.2,0.7,0.0,27.5,51,Rainy
2023-07-28,34.3,21.4,27.7,0.0,0.0,17.3,3,Partly cloudy
2023-07-29,33.9,23.4,27.9,4.3,0.0,32.8,61,Rainy
2023-07-30,26.3,17.7,22.0,0.0,0.0,19.6,3,Partly cloudy
2023-07-31,29.5,15.6,22.7,0.0,0.0,14.9,2,Partly cloudy
2023-08-01,27.1,17.1,22.0,0.0,0.0,18.9,1,Partly cloudy
2023-08-02,27.8,14.6,20.9,0.0,0.0,16.9,3,Partly cloudy
2023-08-03,26.4,15.6,21.6,0.9,0.0,30.0,51,Rainy
2023-08-04,27.5,18.5,23.1,0.9,0.0,21.3,51,Rainy
2023-08-05,30.8,18.3,24.5,0.2,0.0,12.9,51,Rainy
2023-08-06,29.9,18.2,24.2,0.0,0.0,21.8,3,Partly cloudy
2023-08-07,27.8,22.1,24.2,37.9,0.0,31.2,65,Rainy
2023-08-08,27.2,21.6,23.9,15.2,0.0,30.6,65,Rainy
2023-08-09,29.5,19.8,24.4,0.1,0.0,22.4,51,Rainy
2023-08-10,25.5,18.8,22.0,11.9,0.0,14.9,63,Rainy
2023-08-11,29.2,18.2,23.4,0.1,0.0,20.2,51,Rainy
2023-08-12,28.2,17.2,22.8,8.6,0.0,16.6,63,Rainy
2023-08-13,30.7,21.6,25.4,2.9,0.0,20.8,53,Rainy
2023-08-14,30.9,18.8,24.5,1.3,0.0,20.5,55,Rainy
2023-08-15,27.1,21.3,24.0,20.3,0.0,17.5,65,Rainy
2023-08-16,26.6,20.8,23.0,4.0,0.0,14.4,55,Rainy
2023-08-17,25.7,20.4,22.9,5.9,0.0,20.3,61,Rainy
2023-08-18,27.0,19.7,23.7,3.1,0.0,25.3,61,Rainy
2023-08-19,26.4,15.4,20.7,0.0,0.0,21.0,3,Partly cloudy
2023-08-20,29.9,15.2,22.7,0.0,0.0,14.4,3,Partly cloudy
2023-08-21,31.1,18.5,25.0,0.1,0.0,15.1,51,Rainy
2023-08-22,26.1,18.0,22.2,0.0,0.0,22.7,3,Partly cloudy
2023-08-23,25.6,16.0,20.4,0.0,0.0,18.1,3,Partly cloudy
2023-08-24,24.5,19.6,21.4,2.2,0.0,26.4,53,Rainy
2023-08-25,28.0,20.6,23.5,11.1,0.0,19.7,63,Rainy
2023-08-26,30.2,19.9,24.7,0.4,0.0,14.8,51,Rainy
2023-08-27,28.4,18.5,23.2,0.5,0.0,13.3,51,Rainy
2023-08-28,25.0,18.9,21.6,1.1,0.0,18.4,51,Rainy
2023-08-29,27.7,17.8,22.6,1.6,0.0,13.5,53,Rainy
2023-08-30,29.6,21.0,24.4,0.7,0.0,20.7,53,Rainy
2023-08-31,25.2,17.2,20.6,0.0,0.0,22.5,3,Partly cloudy
2023-09-01,24.5,13.7,18.9,0.0,0.0,13.7,0,Clear
2023-09-02,27.0,13.0,19.7,0.0,0.0,24.2,3,Partly cloudy
2023-09-03,32.4,18.0,25.2,0.3,0.0,16.8,51,Rainy
2023-09-04,33.9,19.9,27.0,1.2,0.0,18.1,55,Rainy
2023-09-05,35.4,22.1,28.1,0.0,0.0,14.1,3,Partly cloudy
2023-09-06,35.9,23.0,28.9,0.0,0.0,9.4,3,Partly cloudy
2023-09-07,35.3,21.6,27.7,3.8,0.0,18.5,63,Rainy
